click,intFeature1,intFeature2,intFeature3,intFeature4,catFeature5,catFeature6
0,0.38044728201922134,-1.2072044937875812,-0.852385002891476,1.0361825095501662,43b19349,7e0ccccf
0,0.38044728201922134,-1.2072044937875812,1.5808467895584515,0.3659735546106383,25c83c98,7e0ccccf
0,-1.3933721049834424,-1.2072044937875812,-1.4416475413188234,-0.4641557189329606,43b19349,NA_Bucket
0,0.38044728201922134,-0.8792259093197071,-0.852385002891476,0.3659735546106383,25c83c98,NA_Bucket
0,0.38044728201922134,-0.8792259093197071,1.650759546735662,1.337162546158439,25c83c98,13718bbd
0,0.38044728201922134,0.13339578295073973,2.4474338534676137,2.200105471948658,a9411994,fbad5c96
1,-1.3933721049834424,0.2764269533127253,-1.4416475413188234,-1.2942849924765598,4cf72387,13718bbd
1,0.38044728201922134,0.4021505378988241,-0.6626848365070689,-0.19691378339083973,25c83c98,NA_Bucket
0,-0.5064624114821106,0.4613743674186138,-0.852385002891476,-0.4641557189329606,4cf72387,7e0ccccf
0,0.38044728201922134,1.737151067893786,0.5968659157952183,1.8227570419323398,25c83c98,fbad5c96
1,-0.5064624114821106,1.8516646475382323,0.8317161330745142,-2.1244142660201586,30903e74,NA_Bucket
1,-1.3933721049834424,2.135649275984625,0.007603377367870655,0.747361190432978,25c83c98,fe6b92e5
1,-0.5064624114821106,1.0461280017194063,0.8317161330745142,-2.1244142660201586,25c83c98,7e0ccccf
1,1.0964981884881226,-1.2072044937875812,0.4262705116553868,-1.2942849924765598,25c83c98,7e0ccccf
0,-0.5064624114821106,-1.2072044937875812,-0.5076885148317183,-0.19691378339083973,25c83c98,fbad5c96
0,-0.5064624114821106,-0.6873707363663946,-1.4416475413188234,0.20605323600656728,25c83c98,fbad5c96
0,0.38044728201922134,-0.16753697894520792,1.0835794483501326,0.3659735546106383,25c83c98,7e0ccccf
0,0.012346500742262845,0.21029536494551146,-1.0969510532590658,1.337162546158439,25c83c98,fe6b92e5
1,0.38044728201922134,0.7058585164149686,-1.4416475413188234,-1.2942849924765598,0942e0a7,NA_Bucket
0,-1.3933721049834424,0.730129122366698,-1.4416475413188234,-0.808690496702659,4cf72387,fbad5c96
0,0.38044728201922134,1.9339870560733936,-1.4416475413188234,-1.2942849924765598,43b19349,7e0ccccf
0,0.38044728201922134,1.0461280017194063,0.8317161330745142,0.3659735546106383,25c83c98,fe6b92e5
0,0.38044728201922134,1.0461280017194063,0.8317161330745142,0.3659735546106383,25c83c98,fbad5c96
0,-0.5064624114821106,1.0461280017194063,0.21262154631934865,-0.4641557189329606,25c83c98,fe6b92e5
1,0.38044728201922134,-1.2072044937875812,-0.6626848365070689,-0.808690496702659,384874ce,fe6b92e5
0,0.38044728201922134,-1.2072044937875812,0.6346555212133621,0.851568050384539,384874ce,7e0ccccf
1,0.38044728201922134,-1.2072044937875812,0.8317161330745142,0.3659735546106383,43b19349,fe6b92e5
0,0.38044728201922134,-1.2072044937875812,0.8317161330745142,0.3659735546106383,25c83c98,fbad5c96
1,-1.3933721049834424,-1.2072044937875812,-0.26312246446412846,1.268708293023441,4cf72387,7e0ccccf
0,0.38044728201922134,-0.8792259093197071,-0.5076885148317183,-1.2942849924765598,25c83c98,fbad5c96
0,0.38044728201922134,-0.8792259093197071,0.8317161330745142,-0.4641557189329606,25c83c98,fe6b92e5
0,-0.5064624114821106,-0.6873707363663946,0.8317161330745142,-1.2942849924765598,25c83c98,7e0ccccf
1,1.4180651064679681,-0.5512473248518331,-0.5076885148317183,-0.4641557189329606,4cf72387,7e0ccccf
0,0.38044728201922134,-0.4456618039902366,-1.4416475413188234,0.021438776840939814,25c83c98,7e0ccccf
0,0.38044728201922134,-0.35939215189852053,-1.0969510532590658,1.521777005324067,25c83c98,fe6b92e5
0,-1.3933721049834424,-0.28645220035220936,-1.4416475413188234,-1.2942849924765598,25c83c98,7e0ccccf
0,-1.3933721049834424,0.5013846469228039,-1.0969510532590658,-0.808690496702659,25c83c98,NA_Bucket
1,-0.5064624114821106,0.6532295403719263,0.8317161330745142,-1.2942849924765598,0942e0a7,7e0ccccf
0,-1.3933721049834424,2.127902193435366,-1.0969510532590658,-0.808690496702659,25c83c98,fbad5c96
1,-1.3933721049834424,1.0461280017194063,0.8317161330745142,0.3659735546106383,25c83c98,7e0ccccf
0,-0.5064624114821106,-1.2072044937875812,-1.4416475413188234,-2.1244142660201586,25c83c98,13718bbd
0,0.38044728201922134,-0.8792259093197071,-0.5076885148317183,-0.19691378339083973,25c83c98,fe6b92e5
0,-1.3933721049834424,-0.8792259093197071,0.6346555212133621,1.1961028281542374,4cf72387,7e0ccccf
1,1.0964981884881226,-0.8792259093197071,0.8884122139797986,0.3659735546106383,25c83c98,7e0ccccf
1,0.38044728201922134,-0.5512473248518331,0.08157402359562935,-0.19691378339083973,25c83c98,6f6d9be8
0,0.38044728201922134,1.3977701707891392,0.8317161330745142,0.3659735546106383,43b19349,7e0ccccf
1,-0.5064624114821106,2.0203599196558293,0.007603377367870655,-2.1244142660201586,0942e0a7,7e0ccccf
0,-1.3933721049834424,2.4175783032728195,-1.0969510532590658,-2.1244142660201586,4cf72387,7e0ccccf
0,0.38044728201922134,-1.2072044937875812,-1.0969510532590658,-0.4641557189329606,25c83c98,13718bbd
0,-1.3933721049834424,-1.2072044937875812,-1.0969510532590658,-0.808690496702659,25c83c98,fe6b92e5
0,-1.3933721049834424,-1.2072044937875812,1.3443388672196663,1.5774904639765772,4cf72387,7e0ccccf
0,0.38044728201922134,-0.8792259093197071,-0.6626848365070689,-0.808690496702659,25c83c98,fbad5c96
0,0.38044728201922134,-0.8792259093197071,-1.0969510532590658,0.3659735546106383,30903e74,fbad5c96
0,-0.5064624114821106,-0.8792259093197071,0.8317161330745142,0.3659735546106383,25c83c98,fe6b92e5
0,-1.3933721049834424,-0.4456618039902366,-0.852385002891476,-0.808690496702659,25c83c98,NA_Bucket
0,0.38044728201922134,-0.28645220035220936,0.8317161330745142,-1.2942849924765598,43b19349,7e0ccccf
0,0.38044728201922134,0.07417195343095004,-1.4416475413188234,-0.19691378339083973,25c83c98,fe6b92e5
0,-1.3933721049834424,0.5499578289000789,0.8317161330745142,-1.2942849924765598,384874ce,fe6b92e5
0,-1.3933721049834424,0.5613601415368513,0.8317161330745142,0.3659735546106383,25c83c98,fbad5c96
0,0.012346500742262845,0.9272127803124047,1.242201046913639,0.851568050384539,0942e0a7,7e0ccccf
1,0.38044728201922134,1.7352696615290728,0.8317161330745142,0.3659735546106383,25c83c98,7e0ccccf
1,-1.3933721049834424,1.8647486077107651,-0.852385002891476,-0.808690496702659,25c83c98,7e0ccccf
0,0.38044728201922134,2.1511645373548713,-0.6626848365070689,-0.808690496702659,25c83c98,fbad5c96
1,0.38044728201922134,1.0461280017194063,-0.6626848365070689,1.8663117830937652,43b19349,7e0ccccf
0,0.8992561942435946,1.0461280017194063,0.8317161330745142,0.3659735546106383,4cf72387,fe6b92e5
1,0.012346500742262845,1.0461280017194063,0.8317161330745142,0.3659735546106383,30903e74,7e0ccccf
0,0.012346500742262845,-1.2072044937875812,-1.4416475413188234,-0.808690496702659,25c83c98,7e0ccccf
